time (μs),ω_guess (π/sec),ω_opt (π/sec)
37.650000,7.377975,207.496325
37.800000,7.433772,206.656629
37.950000,7.489743,205.816970
38.100000,7.545886,204.977349
38.250000,7.602202,204.137765
38.400000,7.658689,203.298222
38.550000,7.715347,202.458719
38.700000,7.772176,201.619259
38.850000,7.829175,200.779842
39.000000,7.886343,199.940470
39.150000,7.943681,199.101145
39.300000,8.001187,198.261866
39.450000,8.058860,197.422636
39.600000,8.116701,196.583457
39.750000,8.174708,195.744328
39.900000,8.232881,194.905253
40.050000,8.291220,194.066231
40.200000,8.349724,193.227265
40.350000,8.408392,192.388356
40.500000,8.467224,191.549505
40.650000,8.526219,190.710713
40.800000,8.585376,189.871983
40.950000,8.644696,189.033315
41.100000,8.704177,188.194710
41.250000,8.763819,187.356172
41.400000,8.823621,186.517699
41.550000,8.883583,185.679296
41.700000,8.943703,184.840962
41.850000,9.003983,184.002699
42.000000,9.064420,183.164509
42.150000,9.125014,182.326394
42.300000,9.185765,181.488354
42.450000,9.246673,180.650392
42.600000,9.307735,179.812508
42.750000,9.368953,178.974706
42.900000,9.430325,178.136986
43.050000,9.491850,177.299349
43.200000,9.553529,176.461798
43.350000,9.615360,175.624334
43.500000,9.677343,174.786960
43.650000,9.739477,173.949675
43.800000,9.801761,173.112483
43.950000,9.864196,172.275385
44.100000,9.926780,171.438382
44.250000,9.989513,170.601477
44.400000,10.052394,169.764672
44.550000,10.115422,168.927967
44.700000,10.178598,168.091365
44.850000,10.241919,167.254868
45.000000,10.305387,166.418477
45.150000,10.368999,165.582195
45.300000,10.432756,164.746023
45.450000,10.496657,163.909963
45.600000,10.560700,163.074018
45.750000,10.624886,162.238188
45.900000,10.689215,161.402477
46.050000,10.753684,160.566885
46.200000,10.818294,159.731416
46.350000,10.883044,158.896070
46.500000,10.947933,158.060851
46.650000,11.012961,157.225760
46.800000,11.078127,156.390799
46.950000,11.143430,155.555970
47.100000,11.208870,154.721276
47.250000,11.274446,153.886718
47.400000,11.340158,153.052299
47.550000,11.406005,152.218022
47.700000,11.471985,151.383887
47.850000,11.538100,150.549898
48.000000,11.604347,149.716056
48.150000,11.670726,148.882365
48.300000,11.737237,148.048826
48.450000,11.803878,147.215441
48.600000,11.870650,146.382214
48.750000,11.937552,145.549145
48.900000,12.004582,144.716239
49.050000,12.071741,143.883496
49.200000,12.139028,143.050921
49.350000,12.206441,142.218514
49.500000,12.273980,141.386279
49.650000,12.341645,140.554218
49.800000,12.409435,139.722333
49.950000,12.477350,138.890628
50.100000,12.545388,138.059105
50.250000,12.613549,137.227766
50.400000,12.681832,136.396614
50.550000,12.750236,135.565652
50.700000,12.818762,134.734882
50.850000,12.887408,133.904307
51.000000,12.956173,133.073930
51.150000,13.025057,132.243754
51.300000,13.094060,131.413781
51.450000,13.163179,130.584015
51.600000,13.232416,129.754457
51.750000,13.301769,128.925112
51.900000,13.371237,128.095982
52.050000,13.440820,127.267069
52.200000,13.510518,126.438377
52.350000,13.580328,125.609909
52.500000,13.650252,124.781667
52.650000,13.720287,123.953655
52.800000,13.790433,123.125877
52.950000,13.860691,122.298334
53.100000,13.931058,121.471030
53.250000,14.001534,120.643968
53.400000,14.072119,119.817152
53.550000,14.142812,118.990584
53.700000,14.213612,118.164268
53.850000,14.284519,117.338207
54.000000,14.355531,116.512405
54.150000,14.426648,115.686864
54.300000,14.497870,114.861588
54.450000,14.569195,114.036580
54.600000,14.640623,113.211844
54.750000,14.712154,112.387384
54.900000,14.783786,111.563202
55.050000,14.855519,110.739302
55.200000,14.927352,109.915687
55.350000,14.999284,109.092362
55.500000,15.071315,108.269330
55.650000,15.143444,107.446593
55.800000,15.215670,106.624157
55.950000,15.287993,105.802025
56.100000,15.360412,104.980199
56.250000,15.432926,104.158685
56.400000,15.505534,103.337485
56.550000,15.578236,102.516604
56.700000,15.651031,101.696045
56.850000,15.723919,100.875812
57.000000,15.796898,100.055909
57.150000,15.869967,99.236340
57.300000,15.943127,98.417109
57.450000,16.016376,97.598219
57.600000,16.089714,96.779675
57.750000,16.163140,95.961481
57.900000,16.236653,95.143640
58.050000,16.310252,94.326157
58.200000,16.383938,93.509036
58.350000,16.457708,92.692281
58.500000,16.531562,91.875896
58.650000,16.605501,91.059885
58.800000,16.679522,90.244253
58.950000,16.753625,89.429003
59.100000,16.827809,88.614140
59.250000,16.902075,87.799669
59.400000,16.976420,86.985593
59.550000,17.050844,86.171917
59.700000,17.125347,85.358645
59.850000,17.199927,84.545781
60.000000,17.274585,83.733331
60.150000,17.349318,82.921299
60.300000,17.424128,82.109688
60.450000,17.499012,81.298504
60.600000,17.573970,80.487751
60.750000,17.649001,79.677434
60.900000,17.724105,78.867556
61.050000,17.799280,78.058124
61.200000,17.874527,77.249141
61.350000,17.949844,76.440613
61.500000,18.025231,75.632543
61.650000,18.100686,74.824937
61.800000,18.176210,74.017799
61.950000,18.251801,73.211134
62.100000,18.327458,72.404948
62.250000,18.403182,71.599244
62.400000,18.478970,70.794028
62.550000,18.554823,69.989304
62.700000,18.630740,69.185078
62.850000,18.706719,68.381355
63.000000,18.782760,67.578138
63.150000,18.858863,66.775434
63.300000,18.935027,65.973248
63.450000,19.011250,65.171584
63.600000,19.087532,64.370448
63.750000,19.163873,63.569844
63.900000,19.240271,62.769778
64.050000,19.316727,61.970255
64.200000,19.393238,61.171280
64.350000,19.469805,60.372858
64.500000,19.546426,59.574995
64.650000,19.623101,58.777696
64.800000,19.699829,57.980965
64.950000,19.776609,57.184809
65.100000,19.853441,56.389233
65.250000,19.930324,55.594241
65.400000,20.007257,54.799840
65.550000,20.084239,54.006034
65.700000,20.161269,53.212830
65.850000,20.238348,52.420232
66.000000,20.315473,51.628246
66.150000,20.392644,50.836878
66.300000,20.469861,50.046132
66.450000,20.547123,49.256015
66.600000,20.624429,48.466532
66.750000,20.701778,47.677689
66.900000,20.779169,46.889490
67.050000,20.856602,46.101943
67.200000,20.934076,45.315051
67.350000,21.011590,44.528822
67.500000,21.089143,43.743260
67.650000,21.166735,42.958372
67.800000,21.244365,42.174162
67.950000,21.322032,41.390637
68.100000,21.399735,40.607803
68.250000,21.477474,39.825664
68.400000,21.555247,39.044228
68.550000,21.633054,38.263499
68.700000,21.710895,37.483484
68.850000,21.788768,36.704188
69.000000,21.866673,35.925618
69.150000,21.944609,35.147778
69.300000,22.022575,34.370675
69.450000,22.100570,33.594314
69.600000,22.178594,32.818703
69.750000,22.256646,32.043845
69.900000,22.334724,31.269749
70.050000,22.412830,30.496418
70.200000,22.490960,29.723860
70.350000,22.569116,28.952080
70.500000,22.647295,28.181084
70.650000,22.725498,27.410878
70.800000,22.803723,26.641468
70.950000,22.881970,25.872861
71.100000,22.960237,25.105062
71.250000,23.038525,24.338077
71.400000,23.116832,23.571912
71.550000,23.195158,22.806573
71.700000,23.273501,22.042067
71.850000,23.351862,21.278399
72.000000,23.430239,20.515576
72.150000,23.508631,19.753603
72.300000,23.587038,18.992487
72.450000,23.665459,18.232233
72.600000,23.743894,17.472848
72.750000,23.822340,16.714339
72.900000,23.900798,15.956710
73.050000,23.979267,15.199968
73.200000,24.057747,14.444120
73.350000,24.136235,13.689171
73.500000,24.214732,12.935127
73.650000,24.293237,12.181995
73.800000,24.371748,11.429781
73.950000,24.450266,10.678491
74.100000,24.528790,9.928131
74.250000,24.607318,9.178707
74.400000,24.685849,8.430226
74.550000,24.764384,7.682693
74.700000,24.842922,6.936114
74.850000,24.921460,6.190497
75.000000,25.000000,5.445847
75.150000,25.078540,4.702169
75.300000,25.157078,3.959471
75.450000,25.235616,3.217759
75.600000,25.314151,2.477037
75.750000,25.392682,1.737314
75.900000,25.471210,0.998595
76.050000,25.549734,0.260885
76.200000,25.628252,-0.475809
76.350000,25.706763,-1.211480
76.500000,25.785268,-1.946123
76.650000,25.863765,-2.679731
76.800000,25.942253,-3.412299
76.950000,26.020733,-4.143820
77.100000,26.099202,-4.874289
77.250000,26.177660,-5.603698
77.400000,26.256106,-6.332043
77.550000,26.334541,-7.059316
77.700000,26.412962,-7.785513
77.850000,26.491369,-8.510626
78.000000,26.569761,-9.234650
78.150000,26.648138,-9.957579
78.300000,26.726499,-10.679407
78.450000,26.804842,-11.400128
78.600000,26.883168,-12.119735
78.750000,26.961475,-12.838223
78.900000,27.039763,-13.555586
79.050000,27.118030,-14.271817
79.200000,27.196277,-14.986912
79.350000,27.274502,-15.700864
79.500000,27.352705,-16.413666
79.650000,27.430884,-17.125314
79.800000,27.509040,-17.835801
79.950000,27.587170,-18.545121
80.100000,27.665276,-19.253269
80.250000,27.743354,-19.960239
80.400000,27.821406,-20.666025
80.550000,27.899430,-21.370620
80.700000,27.977425,-22.074020
80.850000,28.055391,-22.776219
81.000000,28.133327,-23.477210
81.150000,28.211232,-24.176989
81.300000,28.289105,-24.875548
81.450000,28.366946,-25.572884
81.600000,28.444753,-26.268990
81.750000,28.522526,-26.963860
81.900000,28.600265,-27.657489
82.050000,28.677968,-28.349871
82.200000,28.755635,-29.041001
82.350000,28.833265,-29.730873
82.500000,28.910857,-30.419482
82.650000,28.988410,-31.106822
82.800000,29.065924,-31.792888
82.950000,29.143398,-32.477674
83.100000,29.220831,-33.161175
83.250000,29.298222,-33.843385
83.400000,29.375571,-34.524300
83.550000,29.452877,-35.203913
83.700000,29.530139,-35.882221
83.850000,29.607356,-36.559216
84.000000,29.684527,-37.234894
84.150000,29.761652,-37.909251
84.300000,29.838731,-38.582280
84.450000,29.915761,-39.253976
84.600000,29.992743,-39.924335
84.750000,30.069676,-40.593352
84.900000,30.146559,-41.261021
85.050000,30.223391,-41.927337
85.200000,30.300171,-42.592296
85.350000,30.376899,-43.255892
85.500000,30.453574,-43.918121
85.650000,30.530195,-44.578977
85.800000,30.606762,-45.238456
85.950000,30.683273,-45.896554
86.100000,30.759729,-46.553264
86.250000,30.836127,-47.208584
86.400000,30.912468,-47.862507
86.550000,30.988750,-48.515030
86.700000,31.064973,-49.166147
86.850000,31.141137,-49.815854
87.000000,31.217240,-50.464147
87.150000,31.293281,-51.111021
87.300000,31.369260,-51.756472
87.450000,31.445177,-52.400495
87.600000,31.521030,-53.043087
87.750000,31.596818,-53.684241
87.900000,31.672542,-54.323955
88.050000,31.748199,-54.962224
88.200000,31.823790,-55.599044
88.350000,31.899314,-56.234411
88.500000,31.974769,-56.868321
88.650000,32.050156,-57.500769
88.800000,32.125473,-58.131752
88.950000,32.200720,-58.761265
89.100000,32.275895,-59.389305
89.250000,32.350999,-60.015868
89.400000,32.426030,-60.640950
89.550000,32.500988,-61.264547
89.700000,32.575872,-61.886656
89.850000,32.650682,-62.507273
90.000000,32.725415,-63.126393
90.150000,32.800073,-63.744015
90.300000,32.874653,-64.360133
90.450000,32.949156,-64.974745
90.600000,33.023580,-65.587847
90.750000,33.097925,-66.199436
90.900000,33.172191,-66.809508
91.050000,33.246375,-67.418061
91.200000,33.320478,-68.025090
91.350000,33.394499,-68.630593
91.500000,33.468438,-69.234566
91.650000,33.542292,-69.837007
91.800000,33.616062,-70.437913
91.950000,33.689748,-71.037280
92.100000,33.763347,-71.635105
92.250000,33.836860,-72.231386
92.400000,33.910286,-72.826120
92.550000,33.983624,-73.419304
92.700000,34.056873,-74.010935
92.850000,34.130033,-74.601011
93.000000,34.203102,-75.189529
93.150000,34.276081,-75.776487
93.300000,34.348969,-76.361881
93.450000,34.421764,-76.945711
93.600000,34.494466,-77.527972
93.750000,34.567074,-78.108664
93.900000,34.639588,-78.687783
94.050000,34.712007,-79.265328
94.200000,34.784330,-79.841296
94.350000,34.856556,-80.415685
94.500000,34.928685,-80.988493
94.650000,35.000716,-81.559719
94.800000,35.072648,-82.129360
94.950000,35.144481,-82.697414
95.100000,35.216214,-83.263880
95.250000,35.287846,-83.828755
95.400000,35.359377,-84.392039
95.550000,35.430805,-84.953730
95.700000,35.502130,-85.513825
95.850000,35.573352,-86.072324
96.000000,35.644469,-86.629225
96.150000,35.715481,-87.184527
96.300000,35.786388,-87.738228
96.450000,35.857188,-88.290327
96.600000,35.927881,-88.840822
96.750000,35.998466,-89.389714
96.900000,36.068942,-89.937000
97.050000,36.139309,-90.482679
97.200000,36.209567,-91.026751
97.350000,36.279713,-91.569215
97.500000,36.349748,-92.110070
97.650000,36.419672,-92.649315
97.800000,36.489482,-93.186949
97.950000,36.559180,-93.722972
98.100000,36.628763,-94.257383
98.250000,36.698231,-94.790181
98.400000,36.767584,-95.321367
98.550000,36.836821,-95.850939
98.700000,36.905940,-96.378897
98.850000,36.974943,-96.905242
99.000000,37.043827,-97.429972
99.150000,37.112592,-97.953088
99.300000,37.181238,-98.474590
99.450000,37.249764,-98.994477
99.600000,37.318168,-99.512750
99.750000,37.386451,-100.029408
99.900000,37.454612,-100.544452
100.050000,37.522650,-101.057882
100.200000,37.590565,-101.569698
100.350000,37.658355,-102.079901
100.500000,37.726020,-102.588491
100.650000,37.793559,-103.095469
100.800000,37.860972,-103.600834
100.950000,37.928259,-104.104588
101.100000,37.995418,-104.606731
101.250000,38.062448,-105.107265
101.400000,38.129350,-105.606189
101.550000,38.196122,-106.103504
101.700000,38.262763,-106.599212
101.850000,38.329274,-107.093314
102.000000,38.395653,-107.585810
102.150000,38.461900,-108.076701
102.300000,38.528015,-108.565990
102.450000,38.593995,-109.053676
102.600000,38.659842,-109.539762
102.750000,38.725554,-110.024248
102.900000,38.791130,-110.507136
103.050000,38.856570,-110.988427
103.200000,38.921873,-111.468124
103.350000,38.987039,-111.946227
103.500000,39.052067,-112.422738
103.650000,39.116956,-112.897660
103.800000,39.181706,-113.370993
103.950000,39.246316,-113.842739
104.100000,39.310785,-114.312901
104.250000,39.375114,-114.781481
104.400000,39.439300,-115.248480
104.550000,39.503343,-115.713900
104.700000,39.567244,-116.177744
104.850000,39.631001,-116.640014
105.000000,39.694613,-117.100713
105.150000,39.758081,-117.559841
105.300000,39.821402,-118.017403
105.450000,39.884578,-118.473400
105.600000,39.947606,-118.927835
105.750000,40.010487,-119.380710
105.900000,40.073220,-119.832028
106.050000,40.135804,-120.281792
106.200000,40.198239,-120.730005
106.350000,40.260523,-121.176669
106.500000,40.322657,-121.621787
106.650000,40.384640,-122.065362
106.800000,40.446471,-122.507398
106.950000,40.508150,-122.947896
107.100000,40.569675,-123.386861
107.250000,40.631047,-123.824295
107.400000,40.692265,-124.260202
107.550000,40.753327,-124.694585
107.700000,40.814235,-125.127447
107.850000,40.874986,-125.558792
108.000000,40.935580,-125.988622
108.150000,40.996017,-126.416943
108.300000,41.056297,-126.843757
108.450000,41.116417,-127.269067
108.600000,41.176379,-127.692878
108.750000,41.236181,-128.115194
108.900000,41.295823,-128.536017
109.050000,41.355304,-128.955352
109.200000,41.414624,-129.373204
109.350000,41.473781,-129.789574
109.500000,41.532776,-130.204469
109.650000,41.591608,-130.617892
109.800000,41.650276,-131.029846
109.950000,41.708780,-131.440337
110.100000,41.767119,-131.849368
110.250000,41.825292,-132.256944
110.400000,41.883299,-132.663068
110.550000,41.941140,-133.067746
110.700000,41.998813,-133.470982
110.850000,42.056319,-133.872781
111.000000,42.113657,-134.273146
111.150000,42.170825,-134.672082
111.300000,42.227824,-135.069595
111.450000,42.284653,-135.465689
111.600000,42.341311,-135.860368
111.750000,42.397798,-136.253638
111.900000,42.454114,-136.645503
112.050000,42.510257,-137.035968
112.200000,42.566228,-137.425038
112.350000,42.622025,-137.812719
112.500000,42.677648,-138.199014
112.650000,42.733096,-138.583930
112.800000,42.788370,-138.967471
112.950000,42.843468,-139.349643
113.100000,42.898390,-139.730451
113.250000,42.953135,-140.109900
113.400000,43.007703,-140.487995
113.550000,43.062094,-140.864743
113.700000,43.116306,-141.240147
113.850000,43.170339,-141.614215
114.000000,43.224193,-141.986951
114.150000,43.277867,-142.358361
114.300000,43.331361,-142.728450
114.450000,43.384674,-143.097225
114.600000,43.437805,-143.464690
114.750000,43.490755,-143.830852
114.900000,43.543521,-144.195717
115.050000,43.596105,-144.559290
115.200000,43.648506,-144.921577
115.350000,43.700722,-145.282584
115.500000,43.752754,-145.642317
115.650000,43.804600,-146.000782
115.800000,43.856261,-146.357986
115.950000,43.907736,-146.713933
116.100000,43.959024,-147.068631
116.250000,44.010126,-147.422085
116.400000,44.061039,-147.774302
116.550000,44.111765,-148.125288
116.700000,44.162302,-148.475050
116.850000,44.212649,-148.823593
117.000000,44.262807,-149.170923
117.150000,44.312775,-149.517049
117.300000,44.362553,-149.861975
117.450000,44.412139,-150.205708
117.600000,44.461534,-150.548255
117.750000,44.510736,-150.889622
117.900000,44.559746,-151.229817
118.050000,44.608563,-151.568845
118.200000,44.657187,-151.906713
118.350000,44.705616,-152.243428
118.500000,44.753851,-152.578997
118.650000,44.801891,-152.913426
118.800000,44.849735,-153.246723
118.950000,44.897384,-153.578893
119.100000,44.944836,-153.909945
119.250000,44.992092,-154.239884
119.400000,45.039150,-154.568719
119.550000,45.086010,-154.896455
119.700000,45.132672,-155.223100
119.850000,45.179136,-155.548660
120.000000,45.225400,-155.868053
120.150000,45.271465,-156.145586
120.300000,45.317329,-156.345464
120.450000,45.362993,-156.462447
120.600000,45.408456,-156.496483
120.750000,45.453718,-156.447616
120.900000,45.498777,-156.315984
121.050000,45.543635,-156.101823
121.200000,45.588290,-155.805460
121.350000,45.632741,-155.427319
121.500000,45.676989,-154.967911
121.650000,45.721033,-154.427841
121.800000,45.764872,-153.807803
121.950000,45.808506,-153.108575
122.100000,45.851935,-152.331025
122.250000,45.895158,-151.476101
122.400000,45.938175,-150.544833
122.550000,45.980985,-149.538333
