τ_vals,μ=0.5,μ=0.8,μ=0.9,μ=1.0
1362.66211608,0.25680080941792716,0.16870148858988712,0.37491564243759185,0.46860469575701785
1362.728668982,0.27535744134004875,0.38866821890660036,0.40561433551973985,0.407852740253431
1362.795221884,0.8013269102394678,0.3609131690431958,0.3405727906238683,0.3484823283768108
1362.861774786,0.3072305732463186,0.0970744637356904,0.22835800358878194,0.2913836027993721
1362.928327688,0.22459744754250904,0.2454844139506127,0.2429259599084412,0.23741265335064182
1362.99488059,0.8480510447766377,0.2688939067417975,0.1984080897549651,0.18737864157554784
1363.061433492,0.3683668415766158,0.05029584652158038,0.10880812146157412,0.14203172756181962
1363.1279863940001,0.17776680268895836,0.12584515771286273,0.11194748637539467,0.10205180388245666
1363.194539296,0.8691361758868041,0.19093704484924412,0.09024493544540695,0.06803827230618306
1363.261092198,0.4338535920490689,0.0376871358290042,0.03320188692053434,0.04050109746529525
1363.3276451,0.13755123629701024,0.04315144291863059,0.029424555063517273,0.019853147634131152
1363.394198002,0.8628503580358117,0.13661749339950507,0.03022362247948051,0.00640398861499537
1363.460750904,0.4973334276361822,0.06438166348597565,0.012712706124620755,0.00035526447556988235
1363.527303806,0.10661610870743216,0.006157240303077981,0.005700226855021247,0.0017976637463430693
1363.593856708,0.8297761535542479,0.11175544273703733,0.02589418806419516,0.010709559936982414
1363.66040961,0.5530110953858167,0.1304575170678934,0.05120704470227852,0.026957340183477292
1363.726962512,0.08748730261148005,0.017941070505068844,0.04337310523687388,0.05029739759318605
1363.793515414,0.7728207837397356,0.11770081978631104,0.07722578193514186,0.08037980175861625
1363.860068316,0.5961190585981612,0.23073262286351245,0.14467240863156844,0.11675353375693008
1363.926621218,0.08238142933288636,0.07559847820750873,0.13697969994450873,0.15887323386215413
1363.99317412,0.6969971693810493,0.15125923520149445,0.17664109344392515,0.2061074149482945
1364.059727022,0.6232463444205238,0.35526277215895163,0.2816979423911333,0.2577479054761867
1364.126279924,0.09299541461721718,0.17068928394543256,0.2737414432427974,0.3130204463653989
1364.192832826,0.608992281975496,0.20526197281954583,0.3100691757483458,0.37109635472801816
1364.259385728,0.6325101173369024,0.4904894474626806,0.4449471995125415,0.43110491317451377
1364.32593863,0.12027678887744785,0.2903759327097317,0.4352754580716789,0.492146395112084
1364.3924915320001,0.5165627709411597,0.2696938039819884,0.4588731950662755,0.5533056266946526
1364.459044434,0.6235687011037961,0.6208965161595773,0.6134298206629375,0.613665666238334
1364.525597336,0.16420491450994823,0.4191004904599577,0.6000404238926349,0.6723215123013107
1364.592150238,0.4278173221804818,0.33321588417739656,0.6023921906485159,0.7283937595514602
1364.65870314,0.597492638239585,0.7309650059811703,0.7652716030867621,0.7810417388862727
1364.725256042,0.22361829109641934,0.5405794606322314,0.7461916852126596,0.8294760709502221
1364.791808944,0.35045829386280763,0.38486707659116104,0.7207535885087993,0.8729706002533527
1364.858361846,0.5565246905371085,0.8071727269763134,0.8806151285875734,0.9108732379938527
1364.924914748,0.2961228723739964,0.6398564783181988,0.8544660122320478,0.9426156775201422
1364.99146765,0.29106026431568655,0.41570303146629506,0.7975769924301893,0.9677220218120992
1365.058020552,0.5037688703947707,0.8397763189440711,0.9442647809325089,0.9858158777264866
1365.124573454,0.3781106047385653,0.7051480727013645,0.9107132632374877,0.996625928415518
1365.191126356,0.2544595589111687,0.42014145360517074,0.8222045218448787,0.9999901118040833
1365.257679258,0.44285183319909294,0.8241388398577958,0.9477231422080832,0.9958580154998338
1365.32423216,0.46490655248413415,0.7292475116673212,0.9077399787907569,0.9842915543458693
1365.390785062,0.24331697488977766,0.3968229401407841,0.7911566918048146,0.9654641522406996
1365.457337964,0.3775972742732838,0.7614231130621487,0.8903460526952665,0.9396581147020211
1365.523890866,0.551048178286204,0.7103121135021631,0.8462222304563148,0.9072603134706877
