freq (MHz),μ=1.0,μ=0.9,μ=0.8,μ=0.5
1.985932575259095,0.00134147755195469,0.0016177856348566126,0.0016447741910847193,0.0006628934940104396
2.02340300120738,0.0013169228099062093,0.0015883905719664916,0.0016148932588805863,0.0006529963315082523
2.060873427155665,0.0012933499107869986,0.0015601599660812183,0.0015861988655743525,0.0006436120500549737
2.0983438531039496,0.0012707023609852474,0.0015330273786601733,0.0015586231513901616,0.0006347133811010399
2.1358142790522345,0.0012489279663612433,0.0015069313870627917,0.0015321034060312658,0.0006262754551138722
2.173284705000519,0.0012279784212595043,0.0014818151156078987,0.0015065815862060738,0.0006182755762906114
2.210755130948804,0.0012078089577416086,0.001457625822276668,0.0014820038871622549,0.0006106930247038088
2.248225556897089,0.0011883780277304262,0.001434314529372648,0.0014583203619104217,0.0006035088830632704
2.2856959828453736,0.0011696470185029813,0.0014118356916445818,0.0014354845788590502,0.0005967058831948122
2.3231664087936585,0.0011515799981814364,0.0013901469000945014,0.0014134533169986605,0.0005902682715674474
2.3606368347419435,0.0011341434866408134,0.0013692086151967102,0.0013921862916509928,0.0005841816908138517
2.398107260690228,0.0011173062501361832,0.0013489839275118902,0.0013716459083308694,0.0005784330750533793
2.435577686638513,0.001101039115803578,0.00132943834160757,0.0013517970410456758,0.0005730105582929511
2.4730481125867976,0.001085314804280213,0.0013105395809001636,0.0013326068320482962,0.0005679033935802615
2.5105185385350826,0.0010701077785631175,0.0012922574114931674,0.0013140445113781001,0.0005631018828149969
2.547988964483367,0.0010553941069572476,0.0012745634822260534,0.0012960812329997115,0.0005585973151572463
2.585459390431652,0.0010411513391496423,0.0012574311799600304,0.0012786899266400862,0.0005543819139553753
2.622929816379937,0.0010273583928375495,0.0012408354973690444,0.0012618451627963458,0.0005504487914397944
2.6604002423282216,0.0010139954519846322,0.0012247529137290327,0.0012455230306208066,0.0005467919100913606
2.6978706682765066,0.0010010438726718574,0.0012091612850530051,0.00122970102595906,0.0005434060509725011
2.7353410942247915,0.0009884860982888699,0.0011940397447079683,0.0012143579498415415,0.0005402867880269885
2.772811520173076,0.0009763055819783716,0.0011793686124789585,0.001199473815691712,0.000537430468335834
2.810281946121361,0.0009644867141962802,0.001165129309921667,0.0011850297633475178,0.000534834198192135
2.847752372069646,0.0009530147593795214,0.0011513042856590092,0.0011710079827272233,0.0005324958348945438
2.8852227980179306,0.0009418757949703615,0.0011378769439661265,0.0011573916414120736,0.0005304139838829544
2.9226932239662156,0.0009310566569467699,0.0011248315807146651,0.0011441648196521775,0.0005285880018498289
2.9601636499145,0.0009205448894995138,0.0011121533239981671,0.001131312450056185,0.0005270180052957935
2.997634075862785,0.0009103286985903932,0.0010998280794274802,0.0011188202623190978,0.0005257048853669409
3.03510450181107,0.0009003969091836073,0.00108784248003415,0.001106674732750789,0.0005246503290832176
3.0725749277593546,0.0008907389269163345,0.0010761838394657366,0.0010948630369672654,0.0005238568469489104
3.1100453537076396,0.0008813446994273043,0.00106484010914435,0.0010833730072424682,0.0005233278081693408
3.147515779655924,0.0008722046851067034,0.0010537998384896065,0.0010721930925866963,0.0005230674837006039
3.184986205604209,0.0008633098208373292,0.001043052138315881,0.0010613123226613736,0.0005230810982582411
3.222456631552494,0.0008546514929809876,0.001032586646276669,0.0010507202736904345,0.000523374891521603
3.2599270575007786,0.0008462215103736346,0.0010223934956994933,0.001040407038435184,0.0005239561912300087
3.2973974834490636,0.0008380120769078506,0.0010124632860783686,0.0010303631981891767,0.0005248334977638702
3.334867909397349,0.0008300158325213787,0.001002787050595416,0.0010205797843725007,0.0005260165832882527
3.372338335345633,0.000822225561447061,0.0009933562526116678,0.0010110483104634627,0.0005275166083027537
3.409808761293918,0.0008146346427203948,0.0009841627237822672,0.0010017606562903304,0.0005293462539295452
3.4472791872422035,0.0008072366015297096,0.0009751986765176942,0.000992709137884221,0.0005315198798745372
3.4847496131904876,0.0008000252626484904,0.0009664566696308399,0.0009838864601024895,0.0005340537057541938
3.5222200391387726,0.0007929946617207154,0.0009579295937991024,0.0009752857249246513,0.0005369660237206923
3.559690465087057,0.0007861388555101764,0.0009496106655028934,0.0009669004845017137,0.0005402774493185047
3.597160891035342,0.0007794502224124993,0.0009414935161001223,0.0009587253145899486,0.0005440112384988281
3.6346313169836275,0.0007729462383986893,0.0009335704782350474,0.0009507466709244794,0.0005481932088138051
3.6721017429319116,0.0007665770464750581,0.0009258384331029016,0.0009429744914158414,0.000552853601318156
3.7095721688801966,0.0007603687131169792,0.0009182897104587429,0.000935393302277906,0.0005580253114016182
